feature,mean_abs_shap
volatility_20d,0.5864104847387634
high_low_range,0.49132316492087014
volatility_5d,0.3102685863075046
ma_20d_ratio,0.30576798135441996
open_close_range,0.2532579879756314
ma_5d_ratio,0.19360093858805685
daily_return,0.14255311489317432
volume_change,0.13623859398169777
